Barcode,Product,Price,Stock,Package
2123552,Coke,8,10,Bottles
2123553,Dr. Pepper,6,1,Bottles
2123554,Sprite,5,28,Bottles
2123555,Root Beer,6,2,Bottles
2123556,Cranberry Jiuce,11,6,Bottles
2123557,Orange Juice,4,19,Bottles
2123558,Pineapple Juice,11,8,Bottles
2123559,Tomato Juice,8,4,Bottles
2123560,Clamato Juice,10,25,Bottles
2123561,Apple Cider,7,5,Bottles
2123562,Tonic,5,8,Bottles
2123563,Sparkling Cider,7,7,Bottles
2123564,Child's Beer,2,9,Bottles
2123565,Earl Grey,9,4,Bags
2123566,Folgers,11,8,Bags
2123567,Olives,12,6,Jars
2123568,Pickles,6,8,Jars
2123569,Peppers,7,1,Jars
2123570,Celery,4,5,Stocks
2123571,Onions,5,3,Jars
